CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,PG/SG,Patrick Beverley (31307252),Patrick Beverley,31307252,CPT,3300,PHI@OKC 11/25/2023 05:00PM ET,PHI,9.77
,,,,,,,SG/SF,Aaron Wiggins (31307211),Aaron Wiggins,31307211,UTIL,3200,PHI@OKC 11/25/2023 05:00PM ET,OKC,8.83
,,,,,,,C,Jaylin Williams (31307212),Jaylin Williams,31307212,UTIL,3000,PHI@OKC 11/25/2023 05:00PM ET,OKC,11.6
,,,,,,,C,Olivier Sarr (31307253),Olivier Sarr,31307253,CPT,3000,PHI@OKC 11/25/2023 05:00PM ET,OKC,9.7
,,,,,,,SF,Danuel House Jr. (31307213),Danuel House Jr.,31307213,UTIL,2800,PHI@OKC 11/25/2023 05:00PM ET,PHI,7.7
,,,,,,,SG/SF,Lindy Waters III (31307254),Lindy Waters III,31307254,CPT,2700,PHI@OKC 11/25/2023 05:00PM ET,OKC,5.04
,,,,,,,PG,Tre Mann (31307214),Tre Mann,31307214,UTIL,2600,PHI@OKC 11/25/2023 05:00PM ET,OKC,9.55
,,,,,,,SG,Jaden Springer (31307215),Jaden Springer,31307215,UTIL,2400,PHI@OKC 11/25/2023 05:00PM ET,PHI,8.64
,,,,,,,PG,Vasilije Micic (31307255),Vasilije Micic,31307255,CPT,2400,PHI@OKC 11/25/2023 05:00PM ET,OKC,8.06
,,,,,,,PG/SG,Patrick Beverley (31307216),Patrick Beverley,31307216,UTIL,2200,PHI@OKC 11/25/2023 05:00PM ET,PHI,9.77
,,,,,,,C,Mo Bamba (31307256),Mo Bamba,31307256,CPT,2100,PHI@OKC 11/25/2023 05:00PM ET,PHI,4.25
,,,,,,,C,Olivier Sarr (31307217),Olivier Sarr,31307217,UTIL,2000,PHI@OKC 11/25/2023 05:00PM ET,OKC,9.7
,,,,,,,SG/SF,Lindy Waters III (31307218),Lindy Waters III,31307218,UTIL,1800,PHI@OKC 11/25/2023 05:00PM ET,OKC,5.04
,,,,,,,PF/C,Aleksej Pokusevski (31307257),Aleksej Pokusevski,31307257,CPT,1800,PHI@OKC 11/25/2023 05:00PM ET,OKC,4.65
,,,,,,,PG,Vasilije Micic (31307219),Vasilije Micic,31307219,UTIL,1600,PHI@OKC 11/25/2023 05:00PM ET,OKC,8.06
,,,,,,,PF,Davis Bertans (31307258),Davis Bertans,31307258,CPT,1500,PHI@OKC 11/25/2023 05:00PM ET,OKC,6.31
,,,,,,,PG,Terquavion Smith (31307259),Terquavion Smith,31307259,CPT,1500,PHI@OKC 11/25/2023 05:00PM ET,PHI,0
,,,,,,,PG,Javonte Smart (31307260),Javonte Smart,31307260,CPT,1500,PHI@OKC 11/25/2023 05:00PM ET,PHI,0
,,,,,,,SG,Ricky Council IV (31307261),Ricky Council IV,31307261,CPT,1500,PHI@OKC 11/25/2023 05:00PM ET,PHI,0
,,,,,,,SG,Furkan Korkmaz (31307262),Furkan Korkmaz,31307262,CPT,1500,PHI@OKC 11/25/2023 05:00PM ET,PHI,4.57
,,,,,,,SF/PF,KJ Martin (31307263),KJ Martin,31307263,CPT,1500,PHI@OKC 11/25/2023 05:00PM ET,PHI,3.81
,,,,,,,SF,Keyontae Johnson (31307264),Keyontae Johnson,31307264,CPT,1500,PHI@OKC 11/25/2023 05:00PM ET,OKC,0
,,,,,,,PF,Ousmane Dieng (31307265),Ousmane Dieng,31307265,CPT,1500,PHI@OKC 11/25/2023 05:00PM ET,OKC,7.8
,,,,,,,C,Mo Bamba (31307220),Mo Bamba,31307220,UTIL,1400,PHI@OKC 11/25/2023 05:00PM ET,PHI,4.25
,,,,,,,PF/C,Aleksej Pokusevski (31307221),Aleksej Pokusevski,31307221,UTIL,1200,PHI@OKC 11/25/2023 05:00PM ET,OKC,4.65
,,,,,,,PF,Davis Bertans (31307222),Davis Bertans,31307222,UTIL,1000,PHI@OKC 11/25/2023 05:00PM ET,OKC,6.31
,,,,,,,PG,Terquavion Smith (31307223),Terquavion Smith,31307223,UTIL,1000,PHI@OKC 11/25/2023 05:00PM ET,PHI,0
,,,,,,,PG,Javonte Smart (31307224),Javonte Smart,31307224,UTIL,1000,PHI@OKC 11/25/2023 05:00PM ET,PHI,0
,,,,,,,SG,Ricky Council IV (31307225),Ricky Council IV,31307225,UTIL,1000,PHI@OKC 11/25/2023 05:00PM ET,PHI,0
,,,,,,,SG,Furkan Korkmaz (31307226),Furkan Korkmaz,31307226,UTIL,1000,PHI@OKC 11/25/2023 05:00PM ET,PHI,4.57
,,,,,,,SF/PF,KJ Martin (31307227),KJ Martin,31307227,UTIL,1000,PHI@OKC 11/25/2023 05:00PM ET,PHI,3.81
,,,,,,,SF,Keyontae Johnson (31307228),Keyontae Johnson,31307228,UTIL,1000,PHI@OKC 11/25/2023 05:00PM ET,OKC,0
,,,,,,,PF,Ousmane Dieng (31307229),Ousmane Dieng,31307229,UTIL,1000,PHI@OKC 11/25/2023 05:00PM ET,OKC,7.8
